FID,OBJECTID,UUID,PLZO_OS_UU,PLZO_PLZNF,STATUS,INAENDERUN,PLZ,ZUSATZZIFF,SHAPE_Leng,SHAPE_Area,X,Y
0,1,{0072F991-E46D-447E-A3BE-75467DB57FFC},{281807DC-9C0B-4364-9A55-0E8956876194},{C8171429-1FA6-45E1-9734-1B6C34F616ED},1,0,3920,0,82512.491722699997000,242685382.201999990000000,2624329.895479999900000,1093178.371180000000000
1,2,{C3D3316F-1DFE-468E-BFC5-5C2308743B4C},{F065D58C-3F88-46EF-9AA0-DA0A96766333},{FCB7F4BA-0100-451F-89BD-5F8E0A5F25DC},1,0,3864,0,81353.988499800005000,200839881.113999990000000,2662766.039040000200000,1160906.586080000000000
2,3,{479E660B-A0A5-4297-AA66-FA62735EFDC6},{45243689-766B-4FFC-9A14-AF0D17AADE48},{C8171429-1FA6-45E1-9734-1B6C34F616ED},1,0,1948,1,70569.266797999997000,194236758.277000010000000,2593512.725440000200000,1091569.675420000000000
3,4,{FDFBFFDF-11C2-4CC9-B903-EF17677388BF},{678407FD-30DD-4699-A2D7-FD3602AD9EF0},{10B523FB-2B46-4E32-9C28-FD0E8484F466},0,0,7504,0,68892.922167099998000,181598704.444999990000000,2791072.996129999900000,1145218.624700000000000
4,5,{CB229C54-DF46-45A0-B75F-6E77240B4B03},{D4A72AA9-CF35-4F14-8AD4-03F2EDAC5BA1},{9BD1719C-ABE9-4BFA-A2CB-048E8F034784},1,0,3984,2,70120.973116699999000,172904540.030000000000000,2648148.372520000200000,1150047.584250000100000
5,6,{5B28EF42-165A-4C06-AC5B-BFB4068A7988},{922C55FE-EF7F-46EA-A14B-98D2BDD00B5C},{10B523FB-2B46-4E32-9C28-FD0E8484F466},0,0,7530,0,69358.454398300004000,172246445.581000000000000,2806730.542410000200000,1172360.487690000100000
6,7,{6262A301-67E7-4095-BB32-9A62097205DE},{EAD450C6-15D2-4243-9DA6-F46D40B74A83},{FCB7F4BA-0100-451F-89BD-5F8E0A5F25DC},1,0,3818,0,70551.872206800006000,165456789.937000010000000,2647105.457740000000000,1163221.741029999900000
7,8,{DCC5A542-C9B9-45B6-BD94-546E5B347A8F},{F744CFF2-ADAC-471D-A054-FE349F787851},{10B523FB-2B46-4E32-9C28-FD0E8484F466},0,0,7250,0,78617.618266499994000,164337157.965999990000000,2792652.083860000100000,1191582.828660000100000
8,9,{195005AC-2846-4DD3-A72C-32765AF4032A},{3C6766E9-20A4-47BE-8AB5-C3FF1FF53553},{10B523FB-2B46-4E32-9C28-FD0E8484F466},0,0,7132,0,62566.538417299998000,152730890.131000010000000,2729707.731749999800000,1159439.794969999900000
9,10,{88E5D38E-75F1-4694-8C59-1968396A7BBC},{2F609F6E-1EE8-4FED-8B49-17A2D1B3E224},{10B523FB-2B46-4E32-9C28-FD0E8484F466},0,0,7550,0,71060.483992399997000,143976726.421000000000000,2820668.366789999900000,1179986.416230000100000
