Variety;PLZ;Sowingday;Harvestday;Harvestyear;No;Yielddtha;PMG_g;PHL_kg;Heading
191.11730;1040;283;199;2018;191.11729;63.80613421;45.66;84.65666667;142.3333333
APOSTEL;1040;283;199;2018;191.11622;96.28879835;44.64;80.99333333;144.3333333
ARNOLD (BLE);1040;283;199;2018;191.11177;76.47539046;43.8;86.40658537;140.5607143
ASSC.3685;1040;283;199;2018;191.11671;73.18028698;44.36;84.82333333;145.3333333
BARETTA;1040;283;199;2018;111.15126;79.69319749;43.8;81.8149962;142.921875
BARETTA;1040;283;199;2018;111.15126;84.00421819;49.7;81.16333333;143.1941488
BARRANCO;1040;283;199;2018;191.11699;93.50351755;47.07;82.23666667;146
BB 5543.12;1040;283;199;2018;191.11714;89.97223158;43.29;81.16333333;144
CH NARA;1040;283;199;2018;111.13197;70.3564169;40.7;84.32012448;141.5
CH NARA;1040;283;199;2018;111.13197;75.91240073;40.3;84.73569437;142
CH NARA;1040;283;199;2018;111.13197;74.41833206;40.5;85.19609097;142.5968254
CH NARA;1040;283;199;2018;111.13197;78.0043144;41.6;84.69898531;141.942623
CH NARA;1040;283;199;2018;111.13197;73.84805529;41.1;84.29214935;141.5
CH NARA;1040;283;199;2018;111.13197;75.74053804;41.3;83.50424359;141.7580645
CH NARA;1040;283;199;2018;111.13197;74.11513148;40.1;84.22703115;141
CH NARA;1040;283;199;2018;111.13197;73.64348098;40.1;84.16487677;141.7635659
CH NARA;1040;283;199;2018;111.13197;76.95918983;40.5;84.17155918;141.9745763
CH NARA;1040;283;199;2018;111.13197;74.34339105;41.6;85.54079491;142.9711538
CH NARA;1040;283;199;2018;111.13197;71.68262161;39.6;84.16157867;141.9609375
CH NARA;1040;283;199;2018;111.13197;75.93260941;39.6;84.45736508;142
CH NARA;1040;283;199;2018;111.13197;72.95322358;42;84.36;142.2404853
CH NARA;1040;283;199;2018;111.13197;68.77186135;39.9;84.67848676;142.0426439
CH NARA;1040;283;199;2018;111.13197;73.47173319;41.1;84.36588579;142.6666667
CH NARA;1040;283;199;2018;111.13197;73.31649237;41.74;83.92666667;142.3333333
COLMETTA;1040;283;199;2018;111.1447;82.87566208;50.1;82.01472372;142.2428571
COLMETTA;1040;283;199;2018;111.1447;83.41326502;46.9;80.86485241;142
COLMETTA;1040;283;199;2018;111.1447;89.47208335;48.3;80.8005389;141.7984127
COLMETTA;1040;283;199;2018;111.1447;89.84782214;47.8;81.79415218;143.0163934
COLMETTA;1040;283;199;2018;111.1447;93.90866121;48.2;81.09197121;141
COLMETTA;1040;283;199;2018;111.1447;92.22252609;51.8;80.65874815;142.5
COLMETTA;1040;283;199;2018;111.1447;84.27482042;49.3;81.46922517;142
COLMETTA;1040;283;199;2018;111.1447;89.48865991;47.6;80.40641778;142
COLMETTA;1040;283;199;2018;111.1447;92.54208909;47;81.2037516;142
COLMETTA;1040;283;199;2018;111.1447;89.30585856;47.7;81.62138653;141.9855769
COLMETTA;1040;283;199;2018;111.1447;84.16769451;45.8;81.24440693;142.6171875
COLMETTA;1040;283;199;2018;111.1447;84.84744409;43.7;80.44755578;142.5
COLMETTA;1040;283;199;2018;111.1447;86.12227342;49.3;82.15666667;141.9323348
COLMETTA;1040;283;199;2018;111.1447;87.46356225;47.3;82.18248582;143.0852878
COLMETTA;1040;283;199;2018;111.1447;88.51559661;49.3;80.99871154;141.3333333
COLMETTA;1040;283;199;2018;111.1447;86.03321064;50.53;81.58333333;141.6666667
